model,significant_fdr05_z,top_category_z,significant_fdr05_w,top_category_w,sig_agree_w_vs_z,category_agree,significant_fdr05_ds,top_category_ds,sig_agree_ds_vs_z
PMC9468367_ICD_lncRNA_HCC,False,Malignant,True,Malignant,False,True,False,Malignant,True
PMC9523360_telomere_KIRC,False,Malignant,True,Malignant,False,True,False,Malignant,True
PMC9524961_hypoxia_HCC,False,Malignant,True,Malignant,False,True,False,Malignant,True
PMC9550247_autophagy_LUAD,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC9561419_glycolysis_immune_LUSC,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC9578220_chromatin_immune_UCEC,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC9614251_glycolysis_lncRNA_STAD,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC9614380_aminoacid_KIRC,False,Epithelial_mixed,True,Epithelial_mixed,False,True,True,Epithelial_mixed,False
PMC9618960_ICD_LGG,True,Immune_Hematopoietic,False,Immune_Hematopoietic,False,True,False,Immune_Hematopoietic,False
PMC9636133_mitophagy_CRC,False,Stromal_Vascular,True,Epithelial_mixed,False,False,False,Epithelial_mixed,True
PMC9662042_autophagy_lncRNA_KIRC,False,Stromal_Vascular,False,Stromal_Vascular,True,True,False,Stromal_Vascular,True
PMC9709208_ICD_UVM,False,Immune_Hematopoietic,True,Immune_Hematopoietic,False,True,True,Immune_Hematopoietic,False
PMC9720162_ICD_lncRNA_HCC,False,Malignant,True,Malignant,False,True,False,Malignant,True
PMC9767988_pyroptosis_lncRNA_STAD,False,Stromal_Vascular,False,Epithelial_mixed,True,False,False,Epithelial_mixed,True
PMC9805482_autophagy_OS,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True,False,Immune_Hematopoietic,True
PMC9843944_autophagy_LUAD,True,Immune_Hematopoietic,True,Immune_Hematopoietic,True,True,True,Immune_Hematopoietic,True
PMC9870742_anoikis_LUAD,True,Immune_Hematopoietic,False,Immune_Hematopoietic,False,True,False,Immune_Hematopoietic,False
PMC9906058_ferroptosis_cuproptosis_HCC,True,Malignant,True,Malignant,True,True,True,Malignant,True
