model,dataset,n_genes,K_celltypes,top_celltype,top_count,max_prop,entropy_concentration,binom_pvalue,top_category,tautological_pool,fdr_qvalue,significant_fdr05,underpowered_n_lt6
PMC11137026,NSCLC_GSE131907,6,3,B,3,0.5,0.079,0.31961591220850477,Immune_Hematopoietic,False,0.3528110881408553,False,False
PMC11153201,AML_GSE116256,8,13,EryPro,3,0.375,0.485,0.01898544286895872,Immune_Hematopoietic,False,0.07308095131749863,False,False
PMC11164498,Glioma_GSE131928,4,8,AC-like Malignant,2,0.5,0.5,0.078857421875,Malignant,False,0.16057199671648553,False,True
PMC11178724_cuproptosis_methylation_SKCM,SKCM_GSE120575,5,10,Mono/Macro,3,0.6,0.587,0.008560000000000002,Immune_Hematopoietic,False,0.047182065018043666,True,True
PMC11197043,SKCM_GSE120575,21,10,Mono/Macro,7,0.333,0.131,0.003272793884520406,Immune_Hematopoietic,False,0.022370419361160097,True,False
PMC11261139,GSE81861,2,7,Endothelial,1,0.5,0.644,0.2653061224489796,Stromal_Vascular,False,0.31859410430839,False,True
PMC11297001_oxidative_stress_COAD,GSE81861,17,7,Fibroblast,3,0.176,0.042,0.44620039922660937,Stromal_Vascular,False,0.45428373979230885,False,False
PMC11302292,BLCA_GSE130001,3,4,Epithelial,1,0.333,0.208,0.578125,Epithelial_mixed,False,0.578125,False,True
PMC11310873_lncRNA_LUAD,NSCLC_GSE131907,2,3,B,2,1.0,1.0,0.1111111111111111,Immune_Hematopoietic,False,0.19392684610075916,False,True
PMC11315143,GSE176078,15,9,Endothelial,4,0.267,0.23,0.07646924763568375,Stromal_Vascular,False,0.16057199671648553,False,False
PMC11319968,OS_GSE162454,4,8,Malignant,2,0.5,0.5,0.078857421875,Malignant,False,0.16057199671648553,False,True
PMC11331578,GSE81861,9,7,Epithelial,3,0.333,0.326,0.12592854462799327,Epithelial_mixed,False,0.20829431960049932,False,False
PMC11336873,NSCLC_GSE131907,2,3,B,1,0.5,0.369,0.5555555555555556,Immune_Hematopoietic,False,0.5575396825396826,False,True
PMC11349728,GSE176078,6,9,Normal Epithelial,2,0.333,0.395,0.13677717752299876,Epithelial_mixed,False,0.21002397204351175,False,False
PMC11382408_cuproptosis_HCC,GSE151530,6,6,TECs,3,0.5,0.436,0.06228566529492454,Stromal_Vascular,False,0.14585226623228165,False,False
PMC11384320_m6A_ferroptosis_COAD,GSE81861,6,7,Endothelial,3,0.5,0.48,0.04162381320708209,Stromal_Vascular,False,0.1107726490825688,False,False
PMC11411761_anoikis_BRCA,GSE176078,10,9,Cancer Epithelial,4,0.4,0.331,0.01842165434191409,Malignant,False,0.07290823760673042,False,False
PMC11417173,GSE151530,6,6,Malignant cells,4,0.667,0.516,0.008701989026063098,Malignant,False,0.047182065018043666,True,False
PMC11427372,OV_GSE154600,2,11,Fibroblasts,1,0.5,0.711,0.17355371900826444,Stromal_Vascular,False,0.24630603556223388,False,True
PMC11458410,GSE176078,9,9,Cancer Epithelial,5,0.556,0.477,0.0014492806032259168,Malignant,False,0.013137027403434923,True,False
PMC11483459_cuproptosis_CRC,GSE81861,2,7,Fibroblast,1,0.5,0.644,0.2653061224489796,Stromal_Vascular,False,0.31859410430839,False,True
PMC11491388_disulfidptosis_lncRNA_HCC,GSE151530,4,6,Malignant cells,2,0.5,0.42,0.13194444444444442,Malignant,False,0.20829431960049932,False,True
PMC11496652,NSCLC_GSE131907,20,3,CD8T,9,0.45,0.029,0.19054887156471484,Immune_Hematopoietic,False,0.2663892184561436,False,False
PMC11504279_hypoxia_PAAD,PAAD_GSE154778,3,6,Malignant,2,0.667,0.645,0.07407407407407406,Malignant,False,0.16057199671648553,False,True
PMC11521951,OV_GSE154600,11,11,Malignant,4,0.364,0.315,0.013359672959880121,Malignant,False,0.06256780169543857,False,False
PMC11537572,GSE176078,21,9,Endothelial,12,0.571,0.495,3.94112453778807e-07,Stromal_Vascular,False,6.699562072753906e-05,True,False
