model,dataset,n_genes,K_celltypes,top_celltype,top_count,max_prop,entropy_concentration,binom_pvalue,top_category,tautological_pool,fdr_qvalue,significant_fdr05,underpowered_n_lt6
PMC9468367_ICD_lncRNA_HCC,GSE151530,2,6,Malignant cells,1,0.5,0.613,0.3055555555555555,Malignant,False,0.33369883040935666,False,True
PMC9523360_telomere_KIRC,KIRC_GSE159115,10,8,Malignant,3,0.3,0.276,0.11950215324759483,Malignant,False,0.1768912033221824,False,False
PMC9524961_hypoxia_HCC,GSE151530,3,6,Malignant cells,1,0.333,0.387,0.4212962962962963,Malignant,False,0.4264340560072267,False,True
PMC9578220_chromatin_immune_UCEC,UCEC_GSE139555,9,6,Treg,3,0.333,0.15,0.17825959425646498,Immune_Hematopoietic,False,0.23118041130135303,False,False
PMC9614251_glycolysis_lncRNA_STAD,GSE167297,3,9,Plasma,2,0.667,0.71,0.03429355281207132,Immune_Hematopoietic,False,0.08371661421770352,False,True
PMC9614380_aminoacid_KIRC,KIRC_GSE159115,17,8,Epithelial,6,0.353,0.216,0.013812815405604082,Epithelial_mixed,False,0.0636924265925077,False,False
PMC9618960_ICD_LGG,Glioma_GSE131928,12,8,CD8Tex,5,0.417,0.392,0.011285478103673084,Immune_Hematopoietic,False,0.05584208289703563,False,False
PMC9636133_mitophagy_CRC,GSE81861,10,7,Endothelial,3,0.3,0.129,0.1616049305615446,Stromal_Vascular,False,0.21957671957671956,False,False
PMC9662042_autophagy_lncRNA_KIRC,KIRC_GSE159115,2,8,Endothelial,1,0.5,0.667,0.234375,Stromal_Vascular,False,0.2860753676470589,False,True
PMC9709208_ICD_UVM,UVM_GSE139829,5,8,CD8Tex,3,0.6,0.543,0.01605224609375,Immune_Hematopoietic,False,0.0640432098765432,False,True
PMC9720162_ICD_lncRNA_HCC,GSE151530,2,6,Malignant cells,2,1.0,1.0,0.027777777777777776,Malignant,False,0.08371661421770352,False,True
PMC9767988_pyroptosis_lncRNA_STAD,GSE167297,3,9,Fibroblasts,2,0.667,0.71,0.03429355281207132,Stromal_Vascular,False,0.08371661421770352,False,True
PMC9805482_autophagy_OS,OS_GSE162454,3,8,CD8Tex,1,0.333,0.472,0.330078125,Immune_Hematopoietic,False,0.33835723297600306,False,True
PMC9906058_ferroptosis_cuproptosis_HCC,GSE151530,9,6,Malignant cells,5,0.556,0.359,0.008950061601381901,Malignant,False,0.05017082216153541,False,False
