model,dataset,n_genes,K_celltypes,top_celltype,top_count,max_prop,entropy_concentration,binom_pvalue,top_category,tautological_pool,fdr_qvalue,significant_fdr05,underpowered_n_lt6
PMC12402452_exosome_AML,AML_GSE116256,5,13,Mono/Macro,2,0.4,0.481,0.050582693452340885,Immune_Hematopoietic,False,0.07804186989789737,False,True
PMC12504172_nucleotide_MB,MB_GSE155446,15,4,Malignant,10,0.667,0.421,0.000794949010014534,Malignant,False,0.004088309194360461,True,False
PMC12647489_cholesterol_HCC,GSE151530,8,6,Malignant cells,6,0.75,0.589,0.00044117226794695925,Malignant,False,0.002922352941176471,True,False
PMC12891303_CAF_BLCA,BLCA_GSE130001,6,4,Fibroblasts,5,0.833,0.675,0.004638671875,Stromal_Vascular,False,0.012925192736055089,True,False
PMC12891315_CAF_UCEC,UCEC_GSE139555,12,6,Tprolif,9,0.75,0.597,1.3419348143773245e-05,Immune_Hematopoietic,False,0.00021013191768101284,True,False
PMC12905907_disulfidptosis_SKCM,SKCM_GSE120575,5,10,Tprolif,2,0.4,0.421,0.08146,Immune_Hematopoietic,False,0.1173024,False,True
PMC12906242_m6A_OS,OS_GSE162454,14,8,Fibroblasts,6,0.429,0.424,0.004667430710242115,Stromal_Vascular,False,0.012925192736055089,True,False
PMC12971589_CAF_OSCC,OSCC_GSE172577,8,11,Mono/Macro,2,0.25,0.277,0.16028671562247984,Immune_Hematopoietic,True,0.20129029403753282,False,False
PMC13083393_autophagy_BRCA,GSE176078,11,9,Cancer Epithelial,5,0.455,0.471,0.004387650216900614,Malignant,False,0.012925192736055089,True,False
PMC13190656_ferroptosis_CRC,GSE81861,8,7,Epithelial,7,0.875,0.806,8.499859752314083e-06,Epithelial_mixed,False,0.00018359697064998423,True,False
PMC13333213_pyroptosis_NSCLC,NSCLC_GSE131907,2,3,B,2,1.0,1.0,0.1111111111111111,Immune_Hematopoietic,False,0.14814814814814814,False,True
PMC13355270_mitophagy_BLCA,BLCA_GSE130001,5,4,Epithelial,3,0.6,0.315,0.103515625,Epithelial_mixed,False,0.14332932692307693,False,True
PMC13406258_PCDgenes_BRCA,GSE176078,8,9,Cancer Epithelial,4,0.5,0.448,0.007369876093465977,Malignant,False,0.017303187349876643,True,False
PMC13490468_ATIC_HCC,GSE151530,4,6,Malignant cells,3,0.75,0.686,0.016203703703703703,Malignant,False,0.03365384615384615,True,True
PMC7847640_glycolysis_lncRNA_UCEC,UCEC_GSE139555,2,6,Fibroblasts,2,1.0,1.0,0.027777777777777776,Stromal_Vascular,False,0.04838709677419355,True,True
PMC7880321_immune_BLCA,BLCA_GSE130001,10,4,Epithelial,5,0.5,0.32,0.07812690734863281,Epithelial_mixed,False,0.11508921030405406,False,False
PMC8291813_cGASSTING_STAD,GSE167297,3,9,Mono/Macro,1,0.333,0.5,0.29766803840877915,Immune_Hematopoietic,False,0.31211794318590436,False,True
PMC8377503_glycolysis_colon,GSE81861,8,7,Epithelial,5,0.625,0.448,0.002281605210656881,Epithelial_mixed,False,0.009126420842627525,True,False
PMC8379743_m6A_LUAD,NSCLC_GSE131907,7,3,B,4,0.571,0.13,0.1732967535436671,Immune_Hematopoietic,False,0.2082644628099173,False,False
PMC8464158_glycolysis_lncRNA_OV,OV_GSE154600,3,11,Epithelial,2,0.667,0.735,0.02329075882794891,Epithelial_mixed,False,0.04336899919687038,True,True
PMC8605142_glycolysis_HCC,GSE151530,3,6,Malignant cells,3,1.0,1.0,0.0046296296296296285,Malignant,False,0.012925192736055089,True,True
PMC8791745_hypoxia_lncRNA_HNSCC,HNSC_GSE139324,3,11,Mono/Macro,1,0.333,0.542,0.24868519909842218,Immune_Hematopoietic,False,0.27977084898572496,False,True
PMC8812245_glycolysis_READ,GSE81861,6,7,Epithelial,5,0.833,0.768,0.00031449481083562115,Epithelial_mixed,False,0.0026127261207882376,True,False
PMC8994655_autophagy_lncRNA_STAD,GSE167297,3,9,DC,1,0.333,0.5,0.29766803840877915,Immune_Hematopoietic,False,0.31211794318590436,False,True
PMC9035888_autophagy_BRCA,GSE176078,3,9,Cancer Epithelial,1,0.333,0.5,0.29766803840877915,Malignant,False,0.31211794318590436,False,True
PMC9048552_autophagy_lncRNA_SKCM,SKCM_GSE120575,12,10,Mono/Macro,7,0.583,0.464,5.0180338000000016e-05,Immune_Hematopoietic,False,0.0006021640560000002,True,False
PMC9086515_ferroptosis_Glioma,Glioma_GSE131928,9,8,MES-like Malignant,7,0.778,0.671,1.3619661331176758e-05,Malignant,False,0.00021013191768101284,True,False
PMC9092832_hypoxia_lncRNA_digestive_panCancer,GSE167297,4,9,Mono/Macro,1,0.25,0.369,0.3757049230300259,Immune_Hematopoietic,False,0.38279369516266787,False,True
PMC9097333_autophagy_GBM,Glioma_GSE131928,7,8,MES-like Malignant,4,0.571,0.445,0.0062389373779296875,Malignant,False,0.01548755788556162,True,False
PMC9124146_autophagy_lncRNA_PAAD,PAAD_GSE154778,7,6,Epithelial,3,0.429,0.398,0.09577546296296297,Epithelial_mixed,False,0.13433441558441558,False,False
PMC9341065_immune_autophagy_BLCA,BLCA_GSE130001,4,4,Fibroblasts,2,0.5,0.25,0.26171875,Stromal_Vascular,False,0.29008408919123196,False,True
PMC9342864_autophagy_Glioma,Glioma_GSE131928,9,8,MES-like Malignant,3,0.333,0.37,0.09189072251319884,Malignant,False,0.13058155304507202,False,False
PMC9361349_DNArepair_SKCM,SKCM_GSE120575,12,10,Tprolif,5,0.417,0.463,0.004329343270000001,Immune_Hematopoietic,False,0.012925192736055089,True,False
PMC9420977_cuproptosis_Glioma,Glioma_GSE131928,9,8,MES-like Malignant,8,0.889,0.832,4.76837158203125e-07,Malignant,False,2.574920654296875e-05,True,False
PMC9465161_m7G_lncRNA_COAD,GSE81861,5,7,Epithelial,4,0.8,0.743,0.0018444695662521568,Epithelial_mixed,False,0.008211707549762835,True,True
PMC9468367_ICD_lncRNA_HCC,GSE151530,2,6,Malignant cells,2,1.0,1.0,0.027777777777777776,Malignant,False,0.04838709677419355,True,True
PMC9523360_telomere_KIRC,KIRC_GSE159115,10,8,Malignant,4,0.4,0.385,0.02746405079960823,Malignant,False,0.04838709677419355,True,False
PMC9524961_hypoxia_HCC,GSE151530,3,6,Malignant cells,3,1.0,1.0,0.0046296296296296285,Malignant,False,0.012925192736055089,True,True
PMC9550247_autophagy_LUAD,NSCLC_GSE131907,2,3,B,1,0.5,0.369,0.5555555555555556,Immune_Hematopoietic,False,0.5555555555555556,False,True
PMC9561419_glycolysis_immune_LUSC,NSCLC_GSE131907,4,3,B,3,0.75,0.488,0.11111111111111112,Immune_Hematopoietic,False,0.14814814814814814,False,True
PMC9578220_chromatin_immune_UCEC,UCEC_GSE139555,9,6,Treg,3,0.333,0.064,0.17825959425646498,Immune_Hematopoietic,False,0.21156083713954085,False,False
PMC9614251_glycolysis_lncRNA_STAD,GSE167297,3,9,Plasma,1,0.333,0.5,0.29766803840877915,Immune_Hematopoietic,False,0.31211794318590436,False,True
PMC9614380_aminoacid_KIRC,KIRC_GSE159115,17,8,Epithelial,7,0.412,0.408,0.0029453325935691055,Epithelial_mixed,False,0.011225003757368476,True,False
PMC9618960_ICD_LGG,Glioma_GSE131928,12,8,Mono/Macro,4,0.333,0.472,0.052810481356573284,Immune_Hematopoietic,False,0.0803314364297171,False,False
PMC9636133_mitophagy_CRC,GSE81861,10,7,Epithelial,8,0.8,0.672,5.950963866572252e-06,Epithelial_mixed,False,0.0001606760243974508,True,False
PMC9662042_autophagy_lncRNA_KIRC,KIRC_GSE159115,2,8,Endothelial,1,0.5,0.667,0.234375,Stromal_Vascular,False,0.26644736842105265,False,True
PMC9709208_ICD_UVM,UVM_GSE139829,5,8,CD8Tex,3,0.6,0.676,0.01605224609375,Immune_Hematopoietic,False,0.03365384615384615,True,True
PMC9720162_ICD_lncRNA_HCC,GSE151530,2,6,Malignant cells,2,1.0,1.0,0.027777777777777776,Malignant,False,0.04838709677419355,True,True
PMC9767988_pyroptosis_lncRNA_STAD,GSE167297,3,9,Epithelial,2,0.667,0.71,0.03429355281207132,Epithelial_mixed,False,0.055279159756771674,False,True
PMC9805482_autophagy_OS,OS_GSE162454,3,8,CD4Tconv,1,0.333,0.472,0.330078125,Immune_Hematopoietic,False,0.33950892857142856,False,True
PMC9843944_autophagy_LUAD,NSCLC_GSE131907,23,3,B,16,0.696,0.327,0.0004150526834429939,Immune_Hematopoietic,False,0.002922352941176471,True,False
PMC9870742_anoikis_LUAD,NSCLC_GSE131907,16,3,B,8,0.5,0.369,0.12650071535065358,Immune_Hematopoietic,False,0.16460334045627212,False,False
PMC9906058_ferroptosis_cuproptosis_HCC,GSE151530,9,6,Malignant cells,8,0.889,0.805,4.5645353858659735e-06,Malignant,False,0.0001606760243974508,True,False
