model,dataset,n_genes,K_celltypes,top_celltype,top_count,max_prop,entropy_concentration,binom_pvalue,top_category,tautological_pool,fdr_qvalue,significant_fdr05,underpowered_n_lt6
PMC8379743_m6A_LUAD,NSCLC_GSE131907,7,3,B,3,0.429,0.018,0.42935528120713307,Immune_Hematopoietic,False,0.44162257495590823,False,False
PMC8464158_glycolysis_lncRNA_OV,OV_GSE154600,3,11,Tprolif,1,0.333,0.542,0.24868519909842218,Immune_Hematopoietic,False,0.30520456252988176,False,True
PMC8605142_glycolysis_HCC,GSE151530,3,6,Malignant cells,2,0.667,0.645,0.07407407407407406,Malignant,False,0.13559322033898302,False,True
PMC8791745_hypoxia_lncRNA_HNSCC,HNSC_GSE139324,3,11,Mono/Macro,1,0.333,0.542,0.24868519909842218,Immune_Hematopoietic,False,0.30520456252988176,False,True
PMC8812245_glycolysis_READ,GSE81861,6,7,Epithelial,3,0.5,0.48,0.04162381320708209,Epithelial_mixed,False,0.0966796875,False,False
PMC8994655_autophagy_lncRNA_STAD,GSE167297,3,9,Fibroblasts,2,0.667,0.71,0.03429355281207132,Stromal_Vascular,False,0.08613264427217912,False,True
PMC9035888_autophagy_BRCA,GSE176078,3,9,Cancer Epithelial,1,0.333,0.5,0.29766803840877915,Malignant,False,0.3420015760441293,False,True
PMC9048552_autophagy_lncRNA_SKCM,SKCM_GSE120575,12,10,DC,4,0.333,0.322,0.025637470165000006,Immune_Hematopoietic,False,0.08143666993588236,False,False
PMC9086515_ferroptosis_Glioma,Glioma_GSE131928,9,8,AC-like Malignant,3,0.333,0.119,0.09189072251319884,Malignant,False,0.15506559424102304,False,False
PMC9092832_hypoxia_lncRNA_digestive_panCancer,GSE167297,4,9,Mono/Macro,2,0.5,0.527,0.06355738454503886,Immune_Hematopoietic,False,0.12480359147025812,False,True
PMC9097333_autophagy_GBM,Glioma_GSE131928,7,8,OPC-like Malignant,2,0.286,0.35,0.21460819244384766,Malignant,False,0.2726786445168888,False,False
PMC9124146_autophagy_lncRNA_PAAD,PAAD_GSE154778,7,6,Epithelial,2,0.286,0.246,0.33020404663923186,Epithelial_mixed,False,0.35308947561422815,False,False
PMC9341065_immune_autophagy_BLCA,BLCA_GSE130001,4,4,Fibroblasts,2,0.5,0.25,0.26171875,Stromal_Vascular,False,0.31486880466472306,False,True
PMC9342864_autophagy_Glioma,Glioma_GSE131928,9,8,MES-like Malignant,2,0.222,0.166,0.31278216838836664,Malignant,False,0.3482523111952948,False,False
PMC9361349_DNArepair_SKCM,SKCM_GSE120575,12,10,Tprolif,7,0.583,0.514,5.0180338000000016e-05,Immune_Hematopoietic,False,0.0013548691260000004,True,False
PMC9420977_cuproptosis_Glioma,Glioma_GSE131928,9,8,AC-like Malignant,5,0.556,0.447,0.0024822801351547237,Malignant,False,0.0191490181854793,True,False
PMC9465161_m7G_lncRNA_COAD,GSE81861,5,7,Epithelial,4,0.8,0.743,0.0018444695662521568,Epithelial_mixed,False,0.01532328562732561,True,True
PMC9468367_ICD_lncRNA_HCC,GSE151530,2,6,Malignant cells,1,0.5,0.613,0.3055555555555555,Malignant,False,0.34374999999999994,False,True
PMC9523360_telomere_KIRC,KIRC_GSE159115,10,8,Malignant,3,0.3,0.276,0.11950215324759483,Malignant,False,0.17925322987139225,False,False
PMC9524961_hypoxia_HCC,GSE151530,3,6,Malignant cells,1,0.333,0.387,0.4212962962962963,Malignant,False,0.4375,False,True
PMC9550247_autophagy_LUAD,NSCLC_GSE131907,2,3,B,1,0.5,0.369,0.5555555555555556,Immune_Hematopoietic,False,0.5555555555555556,False,True
PMC9561419_glycolysis_immune_LUSC,NSCLC_GSE131907,4,3,CD8T,3,0.75,0.488,0.11111111111111112,Immune_Hematopoietic,False,0.16901408450704225,False,True
PMC9578220_chromatin_immune_UCEC,UCEC_GSE139555,9,6,Treg,3,0.333,0.15,0.17825959425646498,Immune_Hematopoietic,False,0.23478092902071,False,False
PMC9614251_glycolysis_lncRNA_STAD,GSE167297,3,9,Plasma,2,0.667,0.71,0.03429355281207132,Immune_Hematopoietic,False,0.08613264427217912,False,True
PMC9614380_aminoacid_KIRC,KIRC_GSE159115,17,8,Epithelial,6,0.353,0.216,0.013812815405604082,Epithelial_mixed,False,0.05737631014635542,False,False
PMC9618960_ICD_LGG,Glioma_GSE131928,12,8,CD8Tex,5,0.417,0.392,0.011285478103673084,Immune_Hematopoietic,False,0.049410151421184295,True,False
PMC9636133_mitophagy_CRC,GSE81861,10,7,Endothelial,3,0.3,0.129,0.1616049305615446,Stromal_Vascular,False,0.22376067308521558,False,False
PMC9662042_autophagy_lncRNA_KIRC,KIRC_GSE159115,2,8,Endothelial,1,0.5,0.667,0.234375,Stromal_Vascular,False,0.29433139534883723,False,True
PMC9709208_ICD_UVM,UVM_GSE139829,5,8,CD8Tex,3,0.6,0.543,0.01605224609375,Immune_Hematopoietic,False,0.06034482758620689,False,True
PMC9720162_ICD_lncRNA_HCC,GSE151530,2,6,Malignant cells,2,1.0,1.0,0.027777777777777776,Malignant,False,0.08333333333333333,False,True
PMC9767988_pyroptosis_lncRNA_STAD,GSE167297,3,9,Fibroblasts,2,0.667,0.71,0.03429355281207132,Stromal_Vascular,False,0.08613264427217912,False,True
PMC9805482_autophagy_OS,OS_GSE162454,3,8,CD8Tex,1,0.333,0.472,0.330078125,Immune_Hematopoietic,False,0.35308947561422815,False,True
PMC9843944_autophagy_LUAD,NSCLC_GSE131907,23,3,CD8T,15,0.652,0.293,0.0017483450745004445,Immune_Hematopoietic,False,0.01532328562732561,True,False
PMC9870742_anoikis_LUAD,NSCLC_GSE131907,16,3,CD8T,12,0.75,0.488,0.0007924645410274106,Immune_Hematopoietic,False,0.008585449308156967,True,False
PMC9906058_ferroptosis_cuproptosis_HCC,GSE151530,9,6,Malignant cells,5,0.556,0.359,0.008950061601381901,Malignant,False,0.04257555364153345,True,False
