model,gene,top_celltype
PMC8377503_glycolysis_colon,PMM2,Epithelial
PMC8377503_glycolysis_colon,P4HA1,Fibroblast
PMC8377503_glycolysis_colon,STC2,Epithelial
PMC8377503_glycolysis_colon,CHPF2,Bcell
PMC8812245_glycolysis_READ,ANKZF1,Epithelial
PMC8812245_glycolysis_READ,STC2,Epithelial
PMC8812245_glycolysis_READ,SUCLG2P2,Epithelial
PMC8812245_glycolysis_READ,P4HA1,Fibroblast
PMC8812245_glycolysis_READ,GPC1,Epithelial
PMC8812245_glycolysis_READ,PCK1,Epithelial
PMC11483459_cuproptosis_CRC,CDKN2A,Epithelial
PMC11483459_cuproptosis_CRC,DLAT,Epithelial
PMC11920466_COAD,HEYL,Fibroblast
PMC11920466_COAD,FSTL3,Fibroblast
PMC11920466_COAD,CALB2,MastCell
PMC11920466_COAD,HOMER3,Epithelial
PMC11920466_COAD,FABP4,Endothelial
PMC11920466_COAD,MEGF6,Fibroblast
PMC11920466_COAD,ADAM8,Macrophage
PMC11920466_COAD,TIMP1,Fibroblast
PMC11920466_COAD,CLCA1,Epithelial
PMC11920466_COAD,NOS2,MastCell
PMC10531437_lipid_ERstress_CRC,MMP3,Fibroblast
PMC10531437_lipid_ERstress_CRC,HSPA8,Fibroblast
PMC10531437_lipid_ERstress_CRC,PTGIS,Fibroblast
PMC10531437_lipid_ERstress_CRC,CPT2,Epithelial
PMC10531437_lipid_ERstress_CRC,GPI,Epithelial
PMC10531437_lipid_ERstress_CRC,CDKN2A,Epithelial
PMC10531437_lipid_ERstress_CRC,SPP1,Macrophage
PMC10531437_lipid_ERstress_CRC,GRP,Bcell
PMC10531437_lipid_ERstress_CRC,APOE,Fibroblast
PMC10531437_lipid_ERstress_CRC,CHGA,Bcell
PMC10531437_lipid_ERstress_CRC,CAV1,Fibroblast
PMC10531437_lipid_ERstress_CRC,GSTM1,Bcell
PMC10531437_lipid_ERstress_CRC,VEGFA,Epithelial
PMC10531437_lipid_ERstress_CRC,LAMA2,Fibroblast
